lob_1_desc,ci_industry,no_of_banks,cr_credit_rating,cl_total_revenue_ytd,Revenue_2017,Revenue_2018,Revenue_2019,Revenue_2020,Revenue_2021,tot_rev_ytd,Cost_2017,Cost_2018,Cost_2019,Cost_2020,Cost_2021,tot_cost_ytd,2017_profit,2018_profit,2019_profit,2020_profit,2021_profit,total_profit,limit_cons,limit_mb,actual_try_revenue,actual_plm_revenue,actual_trade_revenue,actual_loan_revenue,actual_investment_banking_revenue,loan_nii,od_nii,stl_nii,syndication_revenue,real_estate_revenue,dect_capital_mkt_revenue,ipo_revenue,merger_acquisition_revenue,doc_collection_revenue,trust_receipt_revenue,letter_of_credit_revenue,export_lc_revenue,export_lafb_revenue,export_fbp_revenue,export_doc_collection_revenue,export_lc_discounting_revenue,factoring_lrd_revenue,factoring_nonlrd_revenue,letter_of_guarantee_revenue,counter_letter_of_guarantee_revenue,two_factor_i_and_e_factoring_under_fci_and_collections_revenue,buyer_led_supplier_finance_revenue,strcutured_trade_and_commodity_finance_revenue,core_payments_float_revenue,matrix_mbol_fee_revenue,recoveries_tt_fee_revenue,h2h_gr_swift_echqs_revenue,cardless_cash_revenue,cash_delivery_lcy_and_fcy_revenue,deposits_revenue,cash_concentration_revenue,cash_sweeping_revenue,notional_pooling_revenue,interest_optimization_and_enhancement_revenue,cash_management_commission_revenues_ytd,cash_management_fx_fee_ytd,cash_management_revenue,cash_docs_collection_revenue,virtual_accounts_ccs_monster_machines_revenue,dd_chq_collection_revenue,corporate_credit_card_revenue,core_payments_revenue,pos_revenue,liquidity_management_revenue,core_collection_revenue,fx_flow_revenue,rates_flow_revenue,irs_ccs_swaptions_revenue,fx_swaps_swaptions_revenue,reverse_repo_revenue,trading_of_debt_securities_revenue,treasury_services_try_brokerage_ytd,treasury_services_try_asset_management_ytd,treasury_services_try_mis_ytd,no_of_months_inactive_ly,is_inactive,total_active_period,ci_customer_group_identification,customer_id,RelationshipManager,customer_lv_title,group_lv_title
Special Assets,"General Contractors Nonresidential Buildings, other than Industrial Buildings and Warehouses",0.0,25.0,0.0,209673.437,74489.744,835.492,116.02600000000001,0.0,285114.69899999996,80076.538,23269.267000000003,10.793,379.32,0.0,103735.918,129596.899,51220.477,824.699,-263.29400000000004,0.0,181378.78100000002,0.0,0.0,592.0,137599.0,145937.0,983.0,0.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145937.0,0.0,0.0,0.0,0.0,2369.0,0.0,120.0,0.0,0.0,0.0,135107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137599.0,0.0,0.0,0.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,56.0,10114536.0,1013,11,2465,6990
Services & Manufacturing,"Special Trade Contractors, Not Elsewhere Classified",0.0,17.0,1.781,342.295,1024.193,-1065.736,12.582,1.781,315.115,219.882,161.168,419.45,5.85,1.425,807.775,122.413,863.025,-1485.1860000000001,6.732,0.35600000000000004,-492.66,0.0,0.0,0.0,735.0,-406.0,-17.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-406.0,0.0,0.0,0.0,0.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10001141.0,1015,12,7347,7347
Special Assets,Nonclassifiable Establishments,0.0,22.0,0.514,72167.224,16595.874,2534.597,1.521,0.514,91299.73,1825.401,307.68,32.717,0.18899999999999997,0.198,2166.185,70341.823,16288.194,2501.88,1.3319999999999999,0.316,89133.545,0.0,0.0,0.0,8690.0,0.0,82607.0,0.0,82607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10001162.0,1016,7,3011,3011
Services & Manufacturing,Membership Sports and Recreation Clubs,0.0,17.0,34505.366,34588.177,66695.155,64265.265,39370.295,34505.366,239424.258,23939.806,50173.519,77072.98599999999,65662.955,59294.634000000005,276143.9,10648.371000000001,16521.636000000002,-12807.721000000001,-26292.66,-24789.267999999996,-36719.642,0.0,0.0,0.0,217472.0,13918.0,5920.0,0.0,5920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13918.0,0.0,0.0,0.0,0.0,74478.0,0.0,0.0,0.0,0.0,0.0,142992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10001212.0,1017,13,7783,7783
Services & Manufacturing,Engineering Services,2.0,12.0,135962.697,287901.962,224320.285,346788.769,127252.20599999999,135962.697,1122225.919,150029.071,136309.206,103995.898,50661.39,31125.316000000003,472120.881,137872.891,88011.079,242792.871,76590.81599999999,104837.381,650105.038,100900000.0,20000000.0,327074.0,507300.0,13985.0,265605.0,0.0,265605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5615.0,0.0,0.0,0.0,0.0,0.0,0.0,8370.0,0.0,0.0,0.0,0.0,418159.0,0.0,54164.0,0.0,0.0,0.0,4112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30859.0,476439.0,0.0,0.0,0.0,327074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10001417.0,1018,12,1763,1763
Services & Manufacturing,"General Contractors Residential Buildings, other than SingleFamily",0.0,17.0,11574.305,17775.753,20616.898,5652.055,515.159,11574.305,56134.17,9897.37,13103.168,2052.601,62.071999999999996,26.381,25141.592,7878.383000000001,7513.73,3599.454,453.087,11547.923999999999,30992.577999999998,0.0,0.0,0.0,29911.0,22418.0,3800.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22418.0,0.0,0.0,0.0,0.0,29911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10001422.0,1019,12,1291,1291
Special Assets,"Textile Goods, Not Elsewhere Classified",6.0,22.0,0.0,355767.398,127322.455,-10.5,0.0,0.0,483079.35299999994,116250.897,20030.407,0.0,0.0,0.0,136281.304,239516.50100000002,107292.04800000001,-10.5,0.0,0.0,346798.049,116965000.0,17500000.0,0.0,9462.0,0.0,27471.0,0.0,27471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,431144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.0,0.0,8250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,56.0,10001780.0,1021,14,4194,4194
Trading Companies,Grocery Stores,6.0,13.0,264109.63899999997,566568.365,482959.809,361272.524,413036.283,264109.63899999997,2087946.62,115254.45,110036.884,90274.19099999999,140955.134,76551.156,533071.815,451313.915,372922.925,270998.333,272081.149,187558.483,1554874.805,1109142000.0,119999950.0,256960.0,93290.0,0.0,269844.0,0.0,269844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139710.0,1327216.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28857.0,0.0,64430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93290.0,0.0,0.0,0.0,256960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10001888.0,1024,8,2817,2817
Trading Companies,"General Contractors Nonresidential Buildings, other than Industrial Buildings and Warehouses",0.0,17.0,91.413,8479.114,7453.081999999999,1256.853,-280.28700000000003,91.413,17000.175,20813.158,14729.367,564.344,199.53400000000002,71.137,36377.54,-12334.044,-7276.285,692.5089999999999,-479.82099999999997,20.276,-19377.365,0.0,0.0,0.0,9611.0,1627.0,5760.0,0.0,5760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1627.0,0.0,0.0,0.0,0.0,9611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10002454.0,1025,9,7053,7053
Contracting Finance,"Heavy Construction, Not Elsewhere Classified",12.0,20.0,0.0,108164.19699999999,123555.275,21691.249,18877.5,0.0,272288.221,27134.365,20312.872,1436.134,1856.4279999999999,0.0,50739.799000000006,81029.832,103242.403,20255.115,17021.072,0.0,221548.422,31876023000.0,2250000000.0,0.0,270566.0,0.0,1720.0,0.0,1720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270191.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,56.0,0.0,1026,15,6170,6170
